Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,409.149994,413.410004,408.399994,410.769989,401.123047,69997500
2022-08-02,409.119995,413.000000,406.820007,408.059998,398.476715,63435400
2022-08-03,410.299988,415.679993,410.000000,414.450012,404.716614,67820600
2022-08-04,414.369995,415.089996,412.440002,414.170013,404.443207,45656600
2022-08-05,409.660004,414.149994,409.600006,413.470001,403.759644,56814900
2022-08-08,415.250000,417.619995,411.829987,412.989990,403.290894,53886100
2022-08-09,412.220001,412.750000,410.220001,411.350006,401.689423,44931800
2022-08-10,418.779999,420.140015,416.720001,419.989990,410.126495,68665700
2022-08-11,422.989990,424.950012,419.209991,419.989990,410.126495,59489700
2022-08-12,422.029999,427.209991,421.029999,427.100006,417.069519,61694500
2022-08-15,424.769989,429.410004,424.709991,428.859985,418.788208,54048300
2022-08-16,427.730011,431.730011,426.880005,429.700012,419.608490,59289000
2022-08-17,425.910004,429.500000,424.540009,426.649994,416.630096,63563400
2022-08-18,426.859985,428.609985,425.500000,427.890015,417.841003,49023200
2022-08-19,424.980011,425.260010,421.220001,422.140015,412.226013,68016900
2022-08-22,417.049988,417.230011,412.399994,413.350006,403.642456,77695600
2022-08-23,412.899994,415.420013,411.769989,412.350006,402.665955,49105200
2022-08-24,412.109985,415.109985,411.390015,413.670013,403.954956,49177800
2022-08-25,415.239990,419.559998,414.089996,419.510010,409.657806,50942300
2022-08-26,419.390015,419.959991,405.250000,405.309998,395.791260,103087000
2022-08-29,402.200012,405.839996,401.200012,402.630005,393.174255,65370800
2022-08-30,403.850006,404.100006,396.000000,398.209991,388.858032,85652400
2022-08-31,399.929993,401.239990,395.040009,395.179993,385.899170,76029700
2022-09-01,392.890015,396.779999,390.040009,396.420013,387.110077,78740100
2022-09-02,400.279999,401.559998,390.329987,392.239990,383.028198,99632100
2022-09-06,393.130005,394.119995,388.420013,390.760010,381.583008,76637400
2022-09-07,390.429993,398.589996,390.200012,397.779999,388.438110,70964200
2022-09-08,395.390015,400.859985,394.119995,400.380005,390.977020,80821700
2022-09-09,402.739990,407.510010,402.459991,406.600006,397.050995,76706900
2022-09-12,408.779999,411.730011,408.459991,410.970001,401.318359,69256300
2022-09-13,401.829987,403.100006,391.920013,393.100006,383.868011,122947100
2022-09-14,394.470001,396.200012,391.119995,394.600006,385.332764,85023700
2022-09-15,392.959991,395.959991,388.779999,390.119995,380.958008,87633800
2022-09-16,384.140015,386.250000,382.109985,385.559998,378.051697,103084800
2022-09-19,382.260010,388.549988,382.179993,388.549988,380.983490,73278500
2022-09-20,385.059998,386.119995,381.200012,384.089996,376.610321,77274900
2022-09-21,386.109985,389.309998,377.380005,377.390015,370.040863,106746600
2022-09-22,376.579987,378.299988,373.440002,374.220001,366.932556,89472600
2022-09-23,370.579987,370.619995,363.290009,367.950012,360.784637,122346900
2022-09-26,366.410004,370.209991,363.029999,364.309998,357.215515,92581200
2022-09-27,368.019989,370.399994,360.869995,363.380005,356.303680,108294100
2022-09-28,364.380005,372.299988,362.600006,370.529999,363.314423,110802200
2022-09-29,366.809998,367.109985,359.700012,362.790009,355.725128,112952300
2022-09-30,361.799988,365.910004,357.040009,357.179993,350.224396,153711200
2022-10-03,361.079987,368.549988,359.209991,366.609985,359.470734,89756500
2022-10-04,372.399994,378.000000,366.570007,377.970001,370.609528,103602800
2022-10-05,373.390015,379.459991,370.950012,377.089996,369.746674,88065700
2022-10-06,375.619995,378.720001,372.679993,373.200012,365.932434,82333500
2022-10-07,368.970001,373.290009,360.940002,362.790009,355.725128,107789500
2022-10-10,363.959991,364.209991,357.670013,360.019989,353.009033,76042800
2022-10-11,358.239990,363.029999,355.709991,357.739990,350.773468,92482800
2022-10-12,358.170013,359.820007,356.299988,356.559998,349.616455,76991800
2022-10-13,349.209991,367.510010,348.109985,365.970001,358.843201,147254500
2022-10-14,368.549988,370.260010,356.959991,357.630005,350.665619,123737000
2022-10-17,364.010010,367.980011,357.279999,366.820007,359.676666,93168200
2022-10-18,375.130005,375.450012,367.519989,371.130005,363.902740,97162900
2022-10-19,368.989990,371.850006,365.549988,368.500000,361.323944,79746900
2022-10-20,368.029999,372.670013,364.609985,365.410004,358.294128,88283100
2022-10-21,365.119995,374.799988,363.540009,374.290009,367.001190,131038400
2022-10-24,375.890015,380.059998,373.109985,378.869995,371.492004,85436900
2022-10-25,378.790009,385.250000,378.670013,384.920013,377.424225,78846300
2022-10-26,381.619995,387.579987,381.350006,382.019989,374.580627,104087300
